====== cProfile: ./utility/ias_client/cprof_ias_client.py ======

127.0.0.1 - - [03/May/2018 07:27:30] "POST /attestation/sgx/v2/report HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2018 07:27:30] "GET /attestation/sgx/v2/sigrl/gid HTTP/1.1" 200 -
         13991 function calls (13588 primitive calls) in 0.167 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.015    0.015 sjisprober.py:28(<module>)
        2    0.000    0.000    0.006    0.003 models.py:288(prepare)
        2    0.000    0.000    0.002    0.001 poolmanager.py:76(_new_pool)
        5    0.000    0.000    0.003    0.001 re.py:278(_compile)
       10    0.000    0.000    0.000    0.000 utils.py:690(to_native_string)
        4    0.000    0.000    0.000    0.000 parse.py:145(hostname)
        2    0.000    0.000    0.005    0.003 client.py:1153(getresponse)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1577(make_cookies)
        7    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
        2    0.000    0.000    0.001    0.001 client.py:257(_read_status)
        2    0.000    0.000    0.001    0.001 response.py:349(from_httplib)
        2    0.000    0.000    0.000    0.000 models.py:409(prepare_body)
        2    0.000    0.000    0.063    0.032 __init__.py:22(detect)
       18    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 connection.py:102(__init__)
       16    0.000    0.000    0.000    0.000 _collections_abc.py:631(__init__)
        2    0.000    0.000    0.000    0.000 socket.py:715(getaddrinfo)
        3    0.000    0.000    0.000    0.000 utils.py:50(super_len)
        1    0.000    0.000    0.000    0.000 euctwprober.py:28(<module>)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        2    0.000    0.000    0.000    0.000 utils.py:443(requote_uri)
        4    0.000    0.000    0.000    0.000 url.py:90(split_first)
        4    0.000    0.000    0.002    0.000 response.py:323(stream)
        4    0.000    0.000    0.000    0.000 parse.py:180(_hostinfo)
        2    0.000    0.000    0.000    0.000 response.py:31(assert_header_parsing)
       14    0.000    0.000    0.000    0.000 threading.py:72(RLock)
        3    0.000    0.000    0.000    0.000 parse.py:313(_splitnetloc)
        2    0.000    0.000    0.000    0.000 connectionpool.py:202(_new_conn)
        3    0.000    0.000    0.002    0.001 client.py:869(send)
        8    0.000    0.000    0.000    0.000 response.py:215(_error_catcher)
        6    0.000    0.000    0.001    0.000 cookies.py:35(__init__)
        5    0.000    0.000    0.000    0.000 _collections.py:208(add)
        4    0.000    0.000    0.002    0.000 feedparser.py:180(_call_parse)
        2    0.000    0.000    0.000    0.000 message.py:214(get_payload)
        4    0.000    0.000    0.000    0.000 cookies.py:306(update)
        4    0.000    0.000    0.000    0.000 connectionpool.py:293(_get_timeout)
        6    0.000    0.000    0.000    0.000 sessions.py:67(<listcomp>)
        2    0.000    0.000    0.102    0.051 api.py:17(request)
        2    0.000    0.000    0.000    0.000 queue.py:27(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        6    0.000    0.000    0.000    0.000 cookies.py:460(<listcomp>)
        1    0.000    0.000    0.147    0.147 ias_client.py:59(post_verify_attestation)
        6    0.000    0.000    0.000    0.000 _collections.py:43(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:1257(debug)
        4    0.000    0.000    0.000    0.000 sessions.py:657(<listcomp>)
        1    0.000    0.000    0.000    0.000 jpcntx.py:28(<module>)
       15    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.000    0.000 {built-in method _socket.getaddrinfo}
        4    0.000    0.000    0.000    0.000 poolmanager.py:62(__init__)
        8    0.000    0.000    0.000    0.000 sre_parse.py:153(__len__)
       14    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 cookiejar.py:873(__init__)
       11    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        4    0.000    0.000    0.000    0.000 response.py:176(_init_decoder)
        4    0.000    0.000    0.000    0.000 six.py:583(itervalues)
        6    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 url.py:17(__new__)
        2    0.000    0.000    0.000    0.000 feedparser.py:98(push)
        1    0.000    0.000    0.000    0.000 sbcharsetprober.py:29(<module>)
